,DENTIST,DOCTOR,MEDICAL TECHNOLOGIST,MIDWIFE,NURSE,NUTRITIONIST/DIETICIAN,OCCUPATIONAL THERAPIST,PHARMACIST,PHYSICAL THERAPIST,Place of Practice,RADIOLOGY TECHNOLOGIST,Total,X-RAY TECHNOLOGIST,municipality,province
108,15.0,58.0,30.0,175.0,150.0,4.0,0.0,13.0,0.0,Within,3.0,448.0,0.0,TOTAL,AGUSAN DEL SUR
109,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,5.0,0.0,TOTAL,AGUSAN DEL SUR
110,5.0,79.0,4.0,6.0,11.0,5.0,3.0,8.0,1.0,Within,1.0,125.0,2.0,KALIBO,AKLAN
111,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,2.0,0.0,KALIBO,AKLAN
112,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,Within,0.0,7.0,0.0,LIBACAO,AKLAN
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LIBACAO,AKLAN
114,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,Within,0.0,5.0,0.0,MADALAG,AKLAN
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,MADALAG,AKLAN
116,0.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,Within,0.0,11.0,0.0,MALAY,AKLAN
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,MALAY,AKLAN
118,0.0,2.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,Within,0.0,14.0,0.0,TANGALAN,AKLAN
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,TANGALAN,AKLAN
120,7.0,88.0,7.0,12.0,24.0,6.0,4.0,10.0,1.0,Within,1.0,162.0,2.0,TOTAL,AKLAN
121,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,2.0,0.0,TOTAL,AKLAN
122,1.0,3.0,1.0,11.0,5.0,0.0,0.0,0.0,0.0,Within,0.0,21.0,0.0,BACACAY,ALBAY
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BACACAY,ALBAY
124,1.0,4.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,Within,0.0,20.0,0.0,CAMALIG,ALBAY
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,CAMALIG,ALBAY
126,1.0,6.0,4.0,17.0,19.0,1.0,0.0,1.0,0.0,Within,0.0,50.0,1.0,DARAGA,ALBAY
127,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,18.0,0.0,DARAGA,ALBAY
128,1.0,6.0,1.0,16.0,7.0,0.0,0.0,0.0,0.0,Within,0.0,31.0,0.0,GUINOBATAN,ALBAY
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,GUINOBATAN,ALBAY
130,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,10.0,0.0,JOVELLAR,ALBAY
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,JOVELLAR,ALBAY
132,6.0,307.0,30.0,47.0,562.0,12.0,2.0,19.0,6.0,Within,4.0,1000.0,5.0,LEGAZPI CITY,ALBAY
133,0.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,cross,0.0,26.0,0.0,LEGAZPI CITY,ALBAY
134,1.0,2.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,Within,0.0,19.0,0.0,LIBON,ALBAY
135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,LIBON,ALBAY
136,1.0,2.0,1.0,13.0,5.0,0.0,0.0,0.0,0.0,Within,0.0,22.0,0.0,LIGAO CITY,ALBAY
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LIGAO CITY,ALBAY
138,1.0,1.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,Within,0.0,22.0,0.0,MALINAO,ALBAY
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,MALINAO,ALBAY
140,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,Within,0.0,6.0,0.0,MANITO,ALBAY
141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,MANITO,ALBAY
142,1.0,8.0,2.0,13.0,13.0,0.0,0.0,1.0,0.0,Within,0.0,38.0,0.0,OAS,ALBAY
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,OAS,ALBAY
144,1.0,4.0,1.0,13.0,10.0,0.0,0.0,0.0,0.0,Within,0.0,29.0,0.0,POLANGUI,ALBAY
145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,POLANGUI,ALBAY
146,1.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,Within,0.0,9.0,0.0,RAPU-RAPU,ALBAY
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,RAPU-RAPU,ALBAY
148,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,7.0,0.0,SANTO DOMINGO,ALBAY
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,SANTO DOMINGO,ALBAY
150,2.0,41.0,5.0,28.0,45.0,2.0,0.0,4.0,1.0,Within,1.0,131.0,2.0,TABACO CITY,ALBAY
151,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,15.0,0.0,TABACO CITY,ALBAY
152,0.0,4.0,1.0,13.0,6.0,0.0,0.0,0.0,0.0,Within,0.0,24.0,0.0,TIWI,ALBAY
153,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,TIWI,ALBAY
154,21.0,390.0,52.0,220.0,694.0,15.0,2.0,25.0,7.0,Within,5.0,1439.0,8.0,TOTAL,ALBAY
155,0.0,57.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,cross,0.0,63.0,0.0,TOTAL,ALBAY
156,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,11.0,0.0,BUGASONG,ANTIQUE
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BUGASONG,ANTIQUE
158,1.0,7.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,Within,0.0,15.0,0.0,CALUYA,ANTIQUE
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,CALUYA,ANTIQUE
160,0.0,2.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,Within,0.0,27.0,0.0,CULASI,ANTIQUE
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,CULASI,ANTIQUE
162,0.0,3.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,17.0,0.0,HAMTIC,ANTIQUE
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,HAMTIC,ANTIQUE
164,0.0,1.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,Within,0.0,12.0,0.0,LAUA-AN,ANTIQUE
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LAUA-AN,ANTIQUE
166,1.0,6.0,1.0,3.0,9.0,0.0,0.0,1.0,0.0,Within,0.0,22.0,1.0,PANDAN,ANTIQUE
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,PANDAN,ANTIQUE
168,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,Within,0.0,10.0,0.0,SAN JOSE,ANTIQUE
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,SAN JOSE,ANTIQUE
170,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,9.0,0.0,SAN REMIGIO,ANTIQUE
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,SAN REMIGIO,ANTIQUE
172,1.0,1.0,1.0,6.0,7.0,0.0,0.0,1.0,0.0,Within,0.0,17.0,0.0,SEBASTE,ANTIQUE
173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,SEBASTE,ANTIQUE
174,1.0,4.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,Within,0.0,16.0,0.0,TOBIAS FORNIER,ANTIQUE
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,TOBIAS FORNIER,ANTIQUE
176,4.0,29.0,6.0,68.0,45.0,0.0,0.0,3.0,0.0,Within,0.0,156.0,1.0,TOTAL,ANTIQUE
177,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,TOTAL,ANTIQUE
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Within,0.0,0.0,0.0,TOTAL,BASILAN
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,TOTAL,BASILAN
180,1.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,13.0,0.0,ABUCAY,BATAAN
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,ABUCAY,BATAAN
182,1.0,5.0,2.0,17.0,5.0,0.0,0.0,1.0,0.0,Within,0.0,31.0,0.0,BAGAC,BATAAN
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BAGAC,BATAAN
184,4.0,109.0,41.0,43.0,202.0,5.0,0.0,11.0,0.0,Within,5.0,421.0,1.0,BALANGA CITY,BATAAN
185,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,cross,0.0,13.0,0.0,BALANGA CITY,BATAAN
186,1.0,7.0,7.0,14.0,11.0,1.0,0.0,0.0,1.0,Within,0.0,42.0,0.0,DINALUPIHAN,BATAAN
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,DINALUPIHAN,BATAAN
188,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,Within,0.0,12.0,0.0,HERMOSA,BATAAN
189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,HERMOSA,BATAAN
190,1.0,3.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,Within,0.0,14.0,0.0,LIMAY,BATAAN
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LIMAY,BATAAN
192,2.0,7.0,4.0,17.0,18.0,1.0,0.0,1.0,0.0,Within,0.0,50.0,0.0,MARIVELES,BATAAN
